Data;QUANTIDADE;Motorista;Localidade;Tipo de Evento;Criticidade
01/01/2026;4;CONDUTOR-SINTETICO-01;ZONA-DEMO-A;ACELERACAO-DEMO;BAIXA-DEMO
02/01/2026;7;CONDUTOR-SINTETICO-02;ZONA-DEMO-B;FADIGA-DEMO;MEDIA-DEMO
03/01/2026;10;CONDUTOR-SINTETICO-03;ZONA-DEMO-C;DIRECAO-BRUSCA-DEMO;ALTA-DEMO
04/01/2026;4;CONDUTOR-SINTETICO-04;ZONA-DEMO-A;GESTAO-RISCO-DEMO;BAIXA-DEMO
05/01/2026;7;CONDUTOR-SINTETICO-05;ZONA-DEMO-B;ACELERACAO-DEMO;MEDIA-DEMO
06/01/2026;10;CONDUTOR-SINTETICO-06;ZONA-DEMO-C;FADIGA-DEMO;ALTA-DEMO
07/01/2026;4;CONDUTOR-SINTETICO-01;ZONA-DEMO-A;DIRECAO-BRUSCA-DEMO;BAIXA-DEMO
08/01/2026;7;CONDUTOR-SINTETICO-02;ZONA-DEMO-B;GESTAO-RISCO-DEMO;MEDIA-DEMO
09/01/2026;10;CONDUTOR-SINTETICO-03;ZONA-DEMO-C;ACELERACAO-DEMO;ALTA-DEMO
10/01/2026;4;CONDUTOR-SINTETICO-04;ZONA-DEMO-A;FADIGA-DEMO;BAIXA-DEMO
11/01/2026;7;CONDUTOR-SINTETICO-05;ZONA-DEMO-B;DIRECAO-BRUSCA-DEMO;MEDIA-DEMO
12/01/2026;10;CONDUTOR-SINTETICO-06;ZONA-DEMO-C;GESTAO-RISCO-DEMO;ALTA-DEMO
13/01/2026;4;CONDUTOR-SINTETICO-01;ZONA-DEMO-A;ACELERACAO-DEMO;BAIXA-DEMO
14/01/2026;7;CONDUTOR-SINTETICO-02;ZONA-DEMO-B;FADIGA-DEMO;MEDIA-DEMO
15/01/2026;10;CONDUTOR-SINTETICO-03;ZONA-DEMO-C;DIRECAO-BRUSCA-DEMO;ALTA-DEMO
16/01/2026;4;CONDUTOR-SINTETICO-04;ZONA-DEMO-A;GESTAO-RISCO-DEMO;BAIXA-DEMO
17/01/2026;7;CONDUTOR-SINTETICO-05;ZONA-DEMO-B;ACELERACAO-DEMO;MEDIA-DEMO
18/01/2026;10;CONDUTOR-SINTETICO-06;ZONA-DEMO-C;FADIGA-DEMO;ALTA-DEMO
19/01/2026;4;CONDUTOR-SINTETICO-01;ZONA-DEMO-A;DIRECAO-BRUSCA-DEMO;BAIXA-DEMO
20/01/2026;7;CONDUTOR-SINTETICO-02;ZONA-DEMO-B;GESTAO-RISCO-DEMO;MEDIA-DEMO
21/01/2026;10;CONDUTOR-SINTETICO-03;ZONA-DEMO-C;ACELERACAO-DEMO;ALTA-DEMO
22/01/2026;4;CONDUTOR-SINTETICO-04;ZONA-DEMO-A;FADIGA-DEMO;BAIXA-DEMO
23/01/2026;7;CONDUTOR-SINTETICO-05;ZONA-DEMO-B;DIRECAO-BRUSCA-DEMO;MEDIA-DEMO
24/01/2026;10;CONDUTOR-SINTETICO-06;ZONA-DEMO-C;GESTAO-RISCO-DEMO;ALTA-DEMO
25/01/2026;4;CONDUTOR-SINTETICO-01;ZONA-DEMO-A;ACELERACAO-DEMO;BAIXA-DEMO
26/01/2026;7;CONDUTOR-SINTETICO-02;ZONA-DEMO-B;FADIGA-DEMO;MEDIA-DEMO
27/01/2026;10;CONDUTOR-SINTETICO-03;ZONA-DEMO-C;DIRECAO-BRUSCA-DEMO;ALTA-DEMO
28/01/2026;4;CONDUTOR-SINTETICO-04;ZONA-DEMO-A;GESTAO-RISCO-DEMO;BAIXA-DEMO
29/01/2026;7;CONDUTOR-SINTETICO-05;ZONA-DEMO-B;ACELERACAO-DEMO;MEDIA-DEMO
30/01/2026;10;CONDUTOR-SINTETICO-06;ZONA-DEMO-C;FADIGA-DEMO;ALTA-DEMO
